artist,track_count,mean_duration_ms,genres,genre_count,var_danceability,var_energy,var_valence,var_acousticness,total_variance
The Knocks;Rivers Cuomo;Royal & the Serpent,20,171587.0,"alternative,disco,house,indie-pop",4,1.2974685941135062e-32,0.0,5.189874376454025e-32,1.267059173938971e-35,6.48861002974147e-32
Wisin & Yandel;Anthony Santos,13,205773.0,"electro,hip-hop,latin,latino,reggae,reggaeton",6,0.0,5.341245712433934e-32,1.3353114281084834e-32,0.0,6.676557140542417e-32
Juan Magán;Belinda;Lapiz Conciente,15,185480.0,"electro,latin,latino,reggae,reggaeton",5,0.0,5.28255070460499e-32,1.3206376761512474e-32,8.253985475945296e-34,6.68572823551569e-32
Felix Jaehn;The Stickmen Project;Calum Scott,13,141931.0,"edm,electro,german,house",4,0.0,1.3353114281084834e-32,5.341245712433934e-32,2.0864241064195054e-34,6.697421381606613e-32
Lola Indigo;Maria Becerra,13,174801.0,"latin,spanish",2,0.0,5.341245712433934e-32,1.3353114281084834e-32,8.345696425678021e-34,6.760014104799198e-32
David Guetta;Becky Hill;Ella Henderson,39,169756.0,"dance,edm,pop",3,1.2650318792606687e-32,5.060127517042675e-32,1.2650318792606687e-32,1.2353826945904968e-35,7.591426658258603e-32
Marshmello;Anne-Marie,12,202620.0,"dance,edm,electro,house,pop,progressive-house",6,1.3446492702630882e-32,5.378597081052353e-32,1.3446492702630882e-32,0.0,8.067895621578529e-32
Nacho;Nicky Jam,12,185386.0,"latin,latino,reggae,reggaeton",4,5.378597081052353e-32,1.3446492702630882e-32,1.3446492702630882e-32,0.0,8.067895621578529e-32
Daddy Yankee;Wisin & Yandel,19,241880.0,"hip-hop,latin,latino,reggae,reggaeton",5,1.3010726735415994e-32,5.204290694166397e-32,1.3010726735415994e-32,3.2526816838539984e-33,8.131704209634996e-32
Feid;J Balvin;Maluma;Nicky Jam;Sech;Justin Quiles,15,333800.0,"latin,latino,pop,reggae,reggaeton",5,5.28255070460499e-32,0.0,5.28255070460499e-32,0.0,1.056510140920998e-31
Chris Jedi;Joey Montana,12,211560.0,"latin,latino,reggae,reggaeton",4,0.0,1.2101843432367795e-31,0.0,2.1010144847860753e-34,1.2122853577215656e-31
The Shins,12,146520.0,"alt-rock,alternative,indie-pop",3,1.3446492702630882e-32,0.0,1.2101843432367795e-31,3.282835132478243e-36,1.344682098614413e-31
Clean Bandit;A7S,31,198014.0,"edm,funk,house",3,2.0378906718209474e-31,5.094726679552368e-32,0.0,4.97531902300036e-35,2.5478608716784843e-31
MEDUZA;Goodboys,14,152913.0,"edm,electro,house",3,5.309640708218348e-32,1.327410177054587e-32,1.327410177054587e-32,1.8131868131869167e-09,1.8131868131869167e-09
Zedd;Foxes,12,271426.0,"edm,electro,german,house,techno",5,1.3446492702630882e-32,0.0,8.404057939144301e-34,1.2992424242424214e-07,1.2992424242424214e-07
Sofía Reyes;Jason Derulo;De La Ghetto,15,201526.0,"dance,latin,pop",3,1.3206376761512474e-32,5.28255070460499e-32,1.714285714285717e-07,0.0,1.714285714285717e-07
Anuel AA;KAROL G,44,258799.04545454544,"latin,latino,reggae,reggaeton",4,5.045040672925076e-32,5.045040672925076e-32,0.0,1.7758985200845702e-07,1.7758985200845702e-07
Duke Dumont;Jax Jones,10,285596.0,"edm,house,progressive-house,techno",4,0.0,0.0,1.7777777777777808e-07,6.400000000000033e-10,1.784177777777781e-07
Wisin & Yandel;Chris Brown;T-Pain,28,274946.0,"electro,hip-hop,latin,latino,reggae,reggaeton",6,9.920634920634938e-08,9.920634920634938e-08,7.989042732272978e-34,1.9504498858088325e-37,1.9841269841269876e-07
Alesso;Tove Lo,11,211147.54545454544,"dance,edm,electro,house",4,2.1818181818181858e-07,0.0,3.3896367021215354e-33,1.9636363636363854e-08,2.3781818181818244e-07
Eric Prydz;Empire of the Sun,14,379500.0,"disco,edm,house,progressive-house",4,1.3186813186813214e-07,1.3186813186813209e-07,5.274725274724844e-09,8.439560439560393e-12,2.6901942857142865e-07
Bad Bunny;Drake,14,210367.0,"latin,latino,reggae,reggaeton",4,1.3186813186813214e-07,1.3186813186813209e-07,5.274725274725283e-07,1.3186813186813483e-09,7.925274725274739e-07
DJ Snake;Selena Gomez;Ozuna;Cardi B,13,212500.0,"dance,edm,electro,electronic,pop",5,2.307692307692312e-07,2.3076923076923115e-07,2.3076923076923123e-07,2.3076923076923115e-07,9.230769230769247e-07
Zedd;Maren Morris;Grey,22,184732.0,"dance,edm,electro,german,house,techno",6,0.0,0.0,8.311688311688325e-07,8.311688311688096e-07,1.6623376623376421e-06
Jhayco;J Balvin;Bad Bunny,21,309120.0,"latin,latino,reggae,reggaeton",4,5.142857142857153e-07,0.0,3.21428571428572e-06,1.2857142857142882e-07,3.857142857142864e-06
The Verve,15,357266.0,"alt-rock,alternative,r-n-b",3,3.3015941903781185e-33,1.3206376761512474e-32,4.285714285714292e-06,1.7142857142855742e-09,4.287428571428578e-06
Lykke Li;The Magician,18,279659.1111111111,"electro,indie,indie-pop,swedish",4,5.5555555555555654e-08,8.888888888888905e-07,5.555555555555565e-06,1.6805555555555565e-06,8.180555555555567e-06
MEDUZA;Becky Hill;Goodboys,15,168387.0,"dance,edm,electro,house",4,2.095238095238098e-07,2.0952380952380985e-07,7.542857142857154e-06,8.380952380952396e-07,8.800000000000014e-06
Marshmello;Jonas Brothers,16,154983.0,"dance,edm,electro,house,progressive-house",5,2.0625000000000035e-06,8.250000000000014e-06,1.4666666666666692e-05,1.1229166666666585e-09,2.4980289583333375e-05
Alvaro Diaz;Rauw Alejandro,19,192991.94736842104,"latin,latino,reggae,reggaeton",4,2.7842105263157944e-05,2.1052631578947403e-07,2.1052631578947403e-07,4.26315789473685e-06,3.252631578947374e-05
Jhayco;Anuel AA,54,263650.7037037037,"latin,latino,reggae,reggaeton",4,1.2558516769438278e-32,3.633822501747036e-08,2.0930817610062737e-05,2.456464011180991e-05,4.553179594689012e-05
Ellie Goulding;Diplo;Swae Lee,16,182625.625,"dance,edm,electro,indie,indie-pop",5,1.050000000000002e-06,7.46666666666668e-06,3.7800000000000065e-05,7.466666666666576e-08,4.639133333333341e-05
J Balvin;Maria Becerra,51,217385.17647058822,"latin,latino,reggae,reggaeton",4,9.508235294117663e-06,2.2588235294117686e-07,3.9832941176470656e-05,2.017411764705883e-07,4.9768800000000085e-05
Zedd;Kehlani,10,210901.0,"edm,electro,german,house,techno",5,1.3695501826753678e-32,2.7777777777777834e-07,5.444444444444454e-05,2.5000000000000044e-06,5.722222222222232e-05
Zedd;Liam Payne,12,204615.25,"edm,electro,german,house,techno",5,4.99242424242425e-06,8.181818181818197e-07,4.551515151515159e-05,7.948106060606062e-06,5.927386363636372e-05
J Balvin;Skrillex,15,130772.4,"latin,latino,reggae,reggaeton",4,1.69714285714286e-05,1.8857142857142894e-06,3.017142857142863e-05,1.1165523809523812e-05,6.019409523809533e-05
