danceability,energy,valence,acousticness,artist,group,PC1,PC2
0.472,0.856,0.841,0.147,The Beatles,Organic,2.070815074384951,-0.3254894849067538
0.521,0.524,0.711,0.42,The Beatles,Organic,0.8048070904087535,0.5722563166387379
0.647,0.487,0.222,0.00101,The Beatles,Organic,0.8848272968829809,-0.5764948098754026
0.53,0.72,0.69,0.00376,The Beatles,Organic,1.8804913118493833,-0.4713571166548064
0.555,0.65,0.966,0.0067,The Beatles,Organic,2.2385228076250954,0.17490077341592997
0.488,0.539,0.473,0.136,The Beatles,Organic,0.790159294908656,-0.4705877843632404
0.608,0.565,0.835,0.635,The Beatles,Organic,1.0090637234432234,1.3847379103876272
0.433,0.483,0.717,0.656,The Beatles,Organic,0.1254983308925882,0.7995592549104815
0.676,0.596,0.97,0.0699,The Beatles,Organic,2.347289911311982,0.7464026061377805
0.524,0.88,0.758,0.404,The Beatles,Organic,1.7355818258694502,0.13067314877069114
0.608,0.494,0.879,0.778,The Beatles,Organic,0.7002446326858529,1.8199793308384251
0.682,0.444,0.91,0.257,The Beatles,Organic,1.6282988881070573,1.2193421843201795
0.356,0.26,0.49,0.913,The Beatles,Organic,-1.361858565023887,0.962430150269818
0.287,0.753,0.882,0.0652,The Beatles,Organic,1.5322508242961799,-0.8317030077494908
0.483,0.177,0.192,0.284,The Beatles,Organic,-0.7486211786547737,-0.18011062661466928
0.474,0.939,0.499,0.00472,The Beatles,Organic,1.9179714337098386,-1.2724808030882022
0.516,0.515,0.524,0.379,The Beatles,Organic,0.5235170993658743,0.17937101485928172
0.658,0.537,0.887,0.138,The Beatles,Organic,1.9219493858077696,0.758330493162282
0.65,0.777,0.574,0.141,The Beatles,Organic,1.9307800702599167,-0.12616466480519384
0.77,0.496,0.571,0.719,The Beatles,Organic,0.7171047801206504,1.6900609618257558
0.351,0.749,0.967,0.289,The Beatles,Organic,1.4933856631714413,-0.07655236421054368
0.383,0.558,0.207,0.0303,The Beatles,Organic,0.27429798977658365,-1.4627696494904288
0.546,0.818,0.756,0.0487,The Beatles,Organic,2.189860441802087,-0.3665217372625368
0.426,0.76,0.955,0.118,The Beatles,Organic,1.9597984407901652,-0.19315796787080966
0.391,0.593,0.707,0.7,The Beatles,Organic,0.18327086102871382,0.5787138087219978
0.291,0.638,0.525,0.179,The Beatles,Organic,0.5130651314431381,-1.0515345919527679
0.397,0.625,0.676,0.437,The Beatles,Organic,0.6227259123202026,0.019596502575005278
0.718,0.593,0.869,0.67,The Beatles,Organic,1.370154709995582,1.8060015393824889
0.632,0.471,0.764,0.313,The Beatles,Organic,1.2298679534176313,0.8832377238297879
0.469,0.507,0.619,0.382,The Beatles,Organic,0.5323950158939874,0.21122868974905654
0.679,0.592,0.55,0.0964,The Beatles,Organic,1.6100467916622594,0.10167225488248624
0.651,0.892,0.962,0.00465,The Beatles,Organic,3.049040134260849,0.12016702419477807
0.329,0.678,0.672,0.103,The Beatles,Organic,1.066043318604014,-0.8815608033330725
0.552,0.644,0.961,0.675,The Beatles,Organic,1.1893659792027906,1.386263566212655
0.322,0.394,0.192,0.364,The Beatles,Organic,-0.8001952852915805,-0.8360681120460484
0.602,0.736,0.819,0.149,The Beatles,Organic,2.1017416151475365,0.21102901132280577
0.66,0.337,0.703,0.213,The Beatles,Organic,1.0472068501183966,0.8726811486396872
0.381,0.608,0.742,0.113,The Beatles,Organic,1.1441911008583077,-0.4863618267873756
0.66,0.557,0.788,0.158,The Beatles,Organic,1.7789199169416907,0.6060036199289704
0.599,0.363,0.648,0.333,The Beatles,Organic,0.6702396895978278,0.7743372122498405
0.563,0.705,0.822,0.0103,The Beatles,Organic,2.1426542471335783,-0.11396545325586412
0.523,0.51,0.789,0.0123,The Beatles,Organic,1.528734968693544,-0.015025619480288847
0.461,0.762,0.632,0.0537,The Beatles,Organic,1.6209084991065308,-0.7499131408321051
0.636,0.677,0.837,0.265,The Beatles,Organic,1.9094411985412874,0.6411548569492284
0.373,0.388,0.687,0.525,The Beatles,Organic,-0.10354979417786107,0.4582410627179753
0.629,0.551,0.685,0.22,The Beatles,Organic,1.417213346113407,0.45839818045761566
0.601,0.489,0.638,0.277,The Beatles,Organic,1.0348167104870323,0.4841043278806878
0.698,0.293,0.724,0.784,The Beatles,Organic,0.21133044024442935,2.1301318207807354
0.554,0.904,0.801,0.0638,The Beatles,Organic,2.4609373358826607,-0.3593902232943699
0.533,0.66,0.818,0.346,The Beatles,Organic,1.4403522122876773,0.46316758426931026
0.472,0.292,0.824,0.872,The Beatles,Organic,-0.3627725497220264,1.7634958501331464
0.481,0.262,0.375,0.735,Pink Floyd,Organic,-0.9426492365379301,0.826348769742543
0.472,0.366,0.171,0.15,Pink Floyd,Organic,-0.17282074917964738,-0.7600945643879329
0.693,0.394,0.721,0.0782,Pink Floyd,Organic,1.5020252678833148,0.6784538707305353
0.359,0.48,0.355,0.521,Pink Floyd,Organic,-0.47264693097016025,-0.28136457380091767
