playlist_id,playlist_name,playlist_type,track_count,n_artists,mean_danceability,std_danceability,mean_energy,std_energy,mean_valence,std_valence,mean_acousticness,std_acousticness,mean_speechiness,std_speechiness,mean_instrumentalness,std_instrumentalness,mean_liveness,std_liveness,mean_tempo,std_tempo
KAGGLE_FOLK,Folk (fan-curated proxy),fan_curated,60,51,0.5788166666666668,0.14325708686781644,0.5781166666666666,0.21096944044638288,0.5610816666666667,0.23713185239630705,0.45844199999999996,0.3305926998014837,0.06132833333333334,0.06746596402824084,0.027799887833333328,0.08199862465430063,0.23873666666666668,0.2202024461191023,117.77811666666666,27.495741688235253
KAGGLE_GUITAR,Acoustic Guitar (editorial proxy),editorial,60,46,0.5803833333333335,0.15193811091369602,0.32119333333333333,0.1906364646381104,0.4662716666666667,0.23628726634007022,0.8335999999999999,0.16207104531289218,0.05352333333333334,0.02599210027751044,0.4603626281666667,0.45064485933484544,0.13453999999999997,0.0633116108450623,111.12258333333334,32.56408635566763
KAGGLE_IDM,IDM (editorial proxy),editorial,60,42,0.4978166666666667,0.1929268318025736,0.6120883333333335,0.293125765275524,0.3275,0.2742366292338777,0.3474431283333333,0.34687210323659545,0.10547000000000001,0.11469056276102528,0.5828873285000001,0.384185560665191,0.20628333333333337,0.17125806393649567,125.87214999999999,32.80246226228519
KAGGLE_INDIE,Indie (fan-curated proxy),fan_curated,60,40,0.5581999999999999,0.14809271031167479,0.64385,0.21723538939772144,0.47987666666666673,0.22388975220237958,0.3018918916666666,0.31635192104062526,0.06479,0.04894465812856429,0.0954756865,0.23336864790757703,0.1712766666666667,0.1346991215436566,123.42509999999999,30.852554447823803
KAGGLE_INDIEPOP,Indie-pop (fan-curated proxy),fan_curated,60,46,0.5958,0.14718693291301027,0.5419999999999999,0.20902712499350617,0.41001666666666664,0.2250286981070446,0.41396431666666655,0.30315572245856187,0.06802666666666667,0.05442586581816128,0.010818957333333334,0.04452075498976786,0.14819333333333334,0.08678323837744727,126.53850000000001,31.126772794384262
KAGGLE_JAZZ,Jazz (fan-curated proxy),fan_curated,60,26,0.48390000000000005,0.1467964923609945,0.28904949999999996,0.1704060486654733,0.47739333333333334,0.24075932131956987,0.7497277833333331,0.24439816795806252,0.05903666666666666,0.11220949832400239,0.044678283,0.17679227601000747,0.1591,0.12500672524281325,118.0491,31.485230058778942
KAGGLE_NEWAGE,New Age (editorial proxy),editorial,60,36,0.3464650000000001,0.15696042017018177,0.2052838333333333,0.1804925476286023,0.19450499999999996,0.1826860151847092,0.8428876666666666,0.24832994094016259,0.04273666666666665,0.020857376589400938,0.7468880094999999,0.31426119982884004,0.17535333333333333,0.19414235513276634,111.08431666666667,34.300173352574575
KAGGLE_PIANO,Piano (editorial proxy),editorial,60,39,0.45070000000000005,0.12980197433927143,0.31493183333333336,0.2923972354809821,0.25910666666666665,0.15545435633636903,0.6872360000000001,0.37061799746927504,0.046974999999999996,0.021743868218068875,0.4638567328333333,0.45709864940626016,0.15921499999999997,0.17211213414614027,122.25218333333333,39.06900278342465
KAGGLE_RNB,R&B (fan-curated proxy),fan_curated,60,46,0.6447166666666667,0.1407306709690977,0.6075166666666667,0.1933011606291203,0.6132500000000001,0.24749542882270695,0.3883528833333333,0.23335200516257182,0.10710833333333335,0.125041071614072,0.006012529166666667,0.026762305027956214,0.17190333333333335,0.16958571650624898,125.77958333333332,26.576692938274142
KAGGLE_SLEEP,Sleep (editorial proxy),editorial,60,46,0.16160666666666665,0.11670014576939855,0.4053205,0.3836297648390689,0.03895674999999999,0.05230104396521828,0.5274926788333334,0.41878609053682375,0.068465,0.053395882609626535,0.6279039378333334,0.3810792697694414,0.33131666666666665,0.2764959803959928,88.42138333333334,45.85512119971329
KAGGLE_SONGWRITER,Songwriter (fan-curated proxy),fan_curated,60,43,0.5594166666666667,0.12447956631262229,0.4125633333333333,0.20587874493453473,0.3814366666666667,0.1867398924877266,0.5816391500000001,0.3110040485086548,0.05446499999999999,0.07455629615673093,0.03618579066666667,0.13993574092923425,0.1505633333333333,0.09478599618849995,127.03613333333332,32.58818193839168
KAGGLE_SOUL,Soul (fan-curated proxy),fan_curated,60,35,0.6174666666666667,0.13233924903881764,0.5700366666666666,0.18363870383996558,0.5228733333333334,0.25387228863712774,0.35867000000000004,0.2565044714712509,0.06858666666666664,0.05430612684061881,0.008879597000000001,0.042582527483359923,0.26947000000000004,0.2743860427220707,125.58408333333334,29.687055689901463
KAGGLE_STUDY,Study / Deep Focus (editorial proxy),editorial,60,38,0.6773333333333333,0.09083280723426143,0.4143266666666666,0.18073659817785645,0.42399333333333333,0.22466024733909484,0.482768,0.34360973834782044,0.08575166666666667,0.06164700631016602,0.774730835,0.21697378166330966,0.16827333333333336,0.15486477520362743,115.84935,39.01251952674392
KAGGLE_TRIPPHOP,Trip-hop (editorial proxy),editorial,60,48,0.6346499999999999,0.15706134232915905,0.6303,0.17879581195565333,0.485845,0.2576608389737912,0.1895397,0.20137544214500167,0.06553666666666666,0.06053746834355008,0.4857890769999999,0.37901209009676623,0.17340333333333335,0.13142646970018296,123.27468333333333,27.490712244530553
