resample,ghost_custom_frac,organic_custom_frac,separation
368,1.0,0.36666666666666664,0.6333333333333333
369,1.0,0.43333333333333335,0.5666666666666667
370,1.0,0.3333333333333333,0.6666666666666667
371,1.0,0.26666666666666666,0.7333333333333334
372,1.0,0.26666666666666666,0.7333333333333334
373,1.0,0.26666666666666666,0.7333333333333334
374,1.0,0.4,0.6
375,1.0,0.26666666666666666,0.7333333333333334
376,1.0,0.2,0.8
377,1.0,0.2,0.8
378,1.0,0.13333333333333333,0.8666666666666667
379,1.0,0.4,0.6
380,1.0,0.3,0.7
381,1.0,0.16666666666666666,0.8333333333333334
382,1.0,0.43333333333333335,0.5666666666666667
383,1.0,0.2,0.8
384,1.0,0.26666666666666666,0.7333333333333334
385,1.0,0.1,0.9
386,1.0,0.2,0.8
387,1.0,0.36666666666666664,0.6333333333333333
388,1.0,0.3333333333333333,0.6666666666666667
389,1.0,0.23333333333333334,0.7666666666666666
390,1.0,0.23333333333333334,0.7666666666666666
391,1.0,0.43333333333333335,0.5666666666666667
392,1.0,0.36666666666666664,0.6333333333333333
393,1.0,0.2,0.8
394,1.0,0.3,0.7
395,1.0,0.4,0.6
396,1.0,0.3333333333333333,0.6666666666666667
397,1.0,0.3,0.7
398,1.0,0.2,0.8
399,1.0,0.3,0.7
400,1.0,0.5,0.5
401,1.0,0.2,0.8
402,1.0,0.4,0.6
403,1.0,0.2,0.8
404,1.0,0.26666666666666666,0.7333333333333334
405,1.0,0.2,0.8
406,1.0,0.26666666666666666,0.7333333333333334
407,1.0,0.26666666666666666,0.7333333333333334
408,1.0,0.36666666666666664,0.6333333333333333
409,1.0,0.16666666666666666,0.8333333333333334
410,1.0,0.23333333333333334,0.7666666666666666
411,1.0,0.3333333333333333,0.6666666666666667
412,1.0,0.3,0.7
413,1.0,0.4,0.6
414,1.0,0.4,0.6
415,1.0,0.23333333333333334,0.7666666666666666
416,1.0,0.26666666666666666,0.7333333333333334
417,1.0,0.3333333333333333,0.6666666666666667
418,1.0,0.16666666666666666,0.8333333333333334
419,1.0,0.26666666666666666,0.7333333333333334
420,1.0,0.2,0.8
421,1.0,0.3333333333333333,0.6666666666666667
422,1.0,0.23333333333333334,0.7666666666666666
423,1.0,0.4,0.6
424,1.0,0.3333333333333333,0.6666666666666667
425,1.0,0.3,0.7
426,1.0,0.3333333333333333,0.6666666666666667
427,1.0,0.26666666666666666,0.7333333333333334
428,1.0,0.23333333333333334,0.7666666666666666
429,1.0,0.23333333333333334,0.7666666666666666
430,1.0,0.23333333333333334,0.7666666666666666
431,1.0,0.16666666666666666,0.8333333333333334
432,1.0,0.3333333333333333,0.6666666666666667
433,1.0,0.4,0.6
434,1.0,0.3,0.7
435,1.0,0.16666666666666666,0.8333333333333334
436,1.0,0.26666666666666666,0.7333333333333334
437,1.0,0.3,0.7
438,1.0,0.13333333333333333,0.8666666666666667
439,1.0,0.26666666666666666,0.7333333333333334
440,1.0,0.3,0.7
441,1.0,0.36666666666666664,0.6333333333333333
442,1.0,0.26666666666666666,0.7333333333333334
443,1.0,0.3333333333333333,0.6666666666666667
444,1.0,0.2,0.8
445,1.0,0.36666666666666664,0.6333333333333333
446,1.0,0.2,0.8
447,1.0,0.16666666666666666,0.8333333333333334
448,1.0,0.2,0.8
449,1.0,0.43333333333333335,0.5666666666666667
450,1.0,0.36666666666666664,0.6333333333333333
451,1.0,0.3,0.7
452,1.0,0.16666666666666666,0.8333333333333334
453,1.0,0.23333333333333334,0.7666666666666666
454,1.0,0.36666666666666664,0.6333333333333333
455,1.0,0.3,0.7
456,1.0,0.26666666666666666,0.7333333333333334
457,1.0,0.16666666666666666,0.8333333333333334
458,1.0,0.4,0.6
459,1.0,0.3333333333333333,0.6666666666666667
460,1.0,0.3,0.7
461,1.0,0.2,0.8
462,1.0,0.2,0.8
463,1.0,0.4,0.6
464,1.0,0.13333333333333333,0.8666666666666667
465,1.0,0.16666666666666666,0.8333333333333334
466,1.0,0.23333333333333334,0.7666666666666666
467,1.0,0.2,0.8
468,1.0,0.2,0.8
469,1.0,0.06666666666666667,0.9333333333333333
470,1.0,0.3,0.7
471,1.0,0.1,0.9
472,1.0,0.3,0.7
473,1.0,0.23333333333333334,0.7666666666666666
474,1.0,0.16666666666666666,0.8333333333333334
475,1.0,0.23333333333333334,0.7666666666666666
476,1.0,0.3333333333333333,0.6666666666666667
477,1.0,0.4666666666666667,0.5333333333333333
478,1.0,0.23333333333333334,0.7666666666666666
479,1.0,0.26666666666666666,0.7333333333333334
480,1.0,0.26666666666666666,0.7333333333333334
481,1.0,0.3,0.7
482,1.0,0.23333333333333334,0.7666666666666666
483,1.0,0.2,0.8
484,1.0,0.2,0.8
485,1.0,0.3,0.7
486,1.0,0.23333333333333334,0.7666666666666666
487,1.0,0.2,0.8
488,1.0,0.3333333333333333,0.6666666666666667
489,1.0,0.3333333333333333,0.6666666666666667
490,1.0,0.3333333333333333,0.6666666666666667
491,1.0,0.26666666666666666,0.7333333333333334
492,1.0,0.16666666666666666,0.8333333333333334
493,1.0,0.23333333333333334,0.7666666666666666
494,1.0,0.06666666666666667,0.9333333333333333
495,1.0,0.23333333333333334,0.7666666666666666
496,1.0,0.2,0.8
497,1.0,0.3333333333333333,0.6666666666666667
498,1.0,0.2,0.8
499,1.0,0.4,0.6
500,1.0,0.3,0.7
501,1.0,0.23333333333333334,0.7666666666666666
502,1.0,0.4,0.6
503,1.0,0.26666666666666666,0.7333333333333334
504,1.0,0.26666666666666666,0.7333333333333334
505,1.0,0.23333333333333334,0.7666666666666666
506,1.0,0.23333333333333334,0.7666666666666666
507,1.0,0.13333333333333333,0.8666666666666667
508,1.0,0.3333333333333333,0.6666666666666667
509,1.0,0.13333333333333333,0.8666666666666667
510,1.0,0.2,0.8
511,1.0,0.2,0.8
512,1.0,0.26666666666666666,0.7333333333333334
513,1.0,0.26666666666666666,0.7333333333333334
514,1.0,0.23333333333333334,0.7666666666666666
515,1.0,0.1,0.9
516,1.0,0.36666666666666664,0.6333333333333333
517,1.0,0.4,0.6
518,1.0,0.16666666666666666,0.8333333333333334
519,1.0,0.13333333333333333,0.8666666666666667
520,1.0,0.2,0.8
521,1.0,0.3333333333333333,0.6666666666666667
522,1.0,0.2,0.8
523,1.0,0.3333333333333333,0.6666666666666667
524,1.0,0.16666666666666666,0.8333333333333334
525,1.0,0.26666666666666666,0.7333333333333334
526,1.0,0.3,0.7
527,1.0,0.26666666666666666,0.7333333333333334
528,1.0,0.36666666666666664,0.6333333333333333
529,1.0,0.4,0.6
530,1.0,0.2,0.8
531,1.0,0.4,0.6
532,1.0,0.2,0.8
533,1.0,0.26666666666666666,0.7333333333333334
534,1.0,0.3333333333333333,0.6666666666666667
535,1.0,0.3,0.7
536,1.0,0.16666666666666666,0.8333333333333334
537,1.0,0.3333333333333333,0.6666666666666667
538,1.0,0.43333333333333335,0.5666666666666667
539,1.0,0.16666666666666666,0.8333333333333334
540,1.0,0.23333333333333334,0.7666666666666666
541,1.0,0.26666666666666666,0.7333333333333334
542,1.0,0.23333333333333334,0.7666666666666666
543,1.0,0.26666666666666666,0.7333333333333334
544,1.0,0.3,0.7
545,1.0,0.36666666666666664,0.6333333333333333
546,1.0,0.26666666666666666,0.7333333333333334
547,1.0,0.26666666666666666,0.7333333333333334
548,1.0,0.26666666666666666,0.7333333333333334
549,1.0,0.16666666666666666,0.8333333333333334
550,1.0,0.3,0.7
551,1.0,0.23333333333333334,0.7666666666666666
552,1.0,0.3333333333333333,0.6666666666666667
553,1.0,0.36666666666666664,0.6333333333333333
554,1.0,0.4,0.6
555,1.0,0.26666666666666666,0.7333333333333334
556,1.0,0.4,0.6
557,1.0,0.26666666666666666,0.7333333333333334
558,1.0,0.5666666666666667,0.43333333333333335
559,1.0,0.23333333333333334,0.7666666666666666
560,1.0,0.13333333333333333,0.8666666666666667
561,1.0,0.3333333333333333,0.6666666666666667
562,1.0,0.26666666666666666,0.7333333333333334
563,1.0,0.4,0.6
564,1.0,0.23333333333333334,0.7666666666666666
565,1.0,0.3333333333333333,0.6666666666666667
566,1.0,0.3333333333333333,0.6666666666666667
567,1.0,0.43333333333333335,0.5666666666666667
568,1.0,0.26666666666666666,0.7333333333333334
